0;ICFA01;ICFA02
1;ICFA01;ICFA02
2;ICES02;ICFA02;ICFSOOC01;ICL03;ICSN03
3;ICFA01;ICFA02
4;ICFA01;ICFA02
5;ICFA01;ICFA02
6;ICFA01
7;ICFA01
8;ICFA01
9;ICSN01;ICSN03
10;ICFA01
11;ICFBD01;ICFSOOC01;ICFSOOC02;ICSN01
12;ICFA01;ICL02
13;ICES01;ICFA01;ICFBD01
14;ICFA01
15;ICFA01
16;ICFA01
17;ICFA02
18;ICFA02
19;ICFA02
20;ICFA02
21;ICFA02
22;ICFA02
23;ICFA02
24;ICFA02
25;ICFA02;ICFSOOC01;ICHCC01
26;ICFA02
27;ICFA03
28;ICFA03
29;ICES01;ICFBD01;ICFBD02;ICFSOOC01
30
31;ICFA03
32;ICES03;ICFA01;ICFA03;ICFBD02;ICHCC03;ICRC02
33;ICFA03
34;ICFA03
35;ICFA03
36;ICFA03
37;ICFA03
38;ICFA03
39;ICFSOOC03;ICHCC02;ICHCC03;ICRC03;ICSN01
40;ICFA02;ICHCC01;ICHCC02;ICHCC04;ICSN03
41;ICSN01
42;ICHCC01
43;ICHCC01
44;ICHCC01
45;ICHCC01
46;ICHCC01;ICHCC02
47;ICHCC01
48;ICHCC01
49;ICHCC01
50;ICHCC01
51;ICES01;ICHCC01
52;ICHCC02
53;ICHCC02
54;ICHCC02
55;ICHCC06
56;ICHCC02
57
58;ICHCC02
59;ICHCC06
60;ICHCC02
61;ICHCC02
62;ICHCC03
63;ICHCC03
64;ICHCC03
65;ICHCC03
66;ICHCC03
67;ICHCC03
68;ICHCC03
69;ICHCC03
70;ICHCC03
71;ICHCC03
72;ICHCC03
73;ICHCC04
74;ICHCC04
75;ICHCC04
76;ICHCC04
77;ICHCC04
78;ICHCC04
79;ICHCC04
80;ICHCC04
81;ICHCC04
82;ICHCC04
83;ICHCC04
84
85;ICHCC05
86;ICHCC05
87;ICHCC05
88;ICHCC05
89;ICHCC02;ICL02
90;ICHCC05
91;ICHCC05
92;ICHCC05
93;ICHCC05
94;ICHCC05
